id_avaliacao,id_loja,data,nota,canal,tempo_espera_min,comentario
AV0355,LJ12,29/05/2026,5,App,14,"Café muito bom, atendimento rápido"
AV0356,LJ12,19.02.2026,4,app,11,"Café muito bom, atendimento rápido"
AV0357,LJ12,2026-06-12,"3,0",google maps,10,"Atendimento ok, mesa suja quando cheguei"
AV0358,LJ12,18/03/2026,"4,0",google maps,8,
AV0359,LJ13,2026-06-17,4,App,6,"Preço justo pelo que entrega"
AV0360,LJ13,06/06/2026,4,App,10,
AV0361,LJ13,07.05.2026,4,App,9,"Melhor espresso da região"
AV0362,lj13,2026-04-13,4,app,11,"Preço justo pelo que entrega"
AV0363,LJ13,05/06/2026,4,Google,5,"Café muito bom, atendimento rápido"
AV0364,LJ13,2026-06-04,4,totem na loja,6,"Café muito bom, atendimento rápido"
AV0365,LJ13,07/06/2026,quatro,Google,7,
AV0366,LJ13,07.06.2026,4 estrelas,totem na loja,10,
AV0367,LJ13,2026-06-22,5,App,9,"Café muito bom, atendimento rápido"
AV0368,LJ13,06/04/2026,3,Google,999,
AV0369,LJ13,2026-06-19,3,google maps,8,"Atendimento ok, mesa suja quando cheguei"
AV0370,LJ13,02/03/2026,4,Google,8,"Equipe atenciosa, já conhecem meu pedido"
AV0371,LJ14,18.04.2026,4,Google,,"Cold brew excelente"
AV0372,LJ14,2026-03-31,4,google maps,7,"Pão de queijo sempre quente"
AV0373,LJ14,29/03/2026,4,google maps,9,"Café muito bom, atendimento rápido"
AV0374,LJ14,2026-05-18,4,App,8,"Pão de queijo sempre quente"
AV0375,LJ14,18/05/2026,"4,0",app,12,"Wi-fi funciona bem, virei cliente da manhã"
AV0376,LJ14,27.04.2026,"3,0",Google,11,"Café bom mas o atendimento demorou"
AV0377,LJ14,2026-05-28,5,Google,10,"Cold brew excelente"
AV0378,LJ14,27/04/2026,"5,0",Google,9,"Ambiente agradável para trabalhar"
AV0379,LJ14,2026-05-23,4,Google,9,"Ambiente agradável para trabalhar"
AV0380,LJ14,13/06/2026,5,App,999,"Café muito bom, atendimento rápido"
